id,color,r,g,b,name,owner,type,topography,vegetation,climate,natural_harbor_suitability,religion,culture,population,raw_material,location,province,area,region,subcontinent,continent,impassable_mountains,sea_zones,coastal,is_lake
0,#02CDCD,2,205,205,Lake Karmia,SeaZone,lake,lakes,,arctic,,,,,,lake_karmia,karmia_province,karmia_area,saqunjak_region,lugeania,berlogoes,,,,yes
0,#02C8C8,2,200,200,Lake Dechlion,SeaZone,lake,lakes,,continental,,,,,,lake_dechlion,dechlion_province,arcadia_area,aravia_region,lugeania,berlogoes,,,,yes
0,#02C3C3,2,195,195,Lake Trache,SeaZone,lake,lakes,,continental,,,,,,lake_trache,larviena_province,trache_area,saqunjak_region,lugeania,berlogoes,,,,yes
0,#02d8d7,2,216,215,Lake Sanxho,SeaZone,lake,lakes,,continental,,,,,,lake_sanxho,walvesti_province,sanxho_area,parsii_region,lugeania,berlogoes,,,,yes
0,#02c4c3,2,196,195,Lake Kyrellos,,lake,lakes,,continental,,,,,,lake_kyrellos,larviena_province,trache_area,saqunjak_region,lugeania,berlogoes,,,,yes
0,#02c5c3,2,197,195,Lake Evtrevin,,lake,lakes,,continental,,,,,,lake_evtrevin,avantras_province,eveston_area,piatraston_region,lugeania,berlogoes,,,,yes
0,#02c9c8,2,201,200,Lake Larviena,,lake,lakes,,continental,,,,,,lake_larviena,desaran_province,arcadia_area,aravia_region,lugeania,berlogoes,,,,yes
,#1f4d54,31,77,84,Senetai Lagoon,,lake,lakes,,continental,,,,,,senetai_lagoon,senetai_province,carson_area,garson_region,lugeania,berlogoes,,,,yes
,#1d494f,29,73,79,Skirpegic Delta,,lake,lakes,,continental,,,,,,skirpegic_delta,skirpeggikia_province,skirpeggikia_area,pukaland_region,kaltic,berlogoes,,,,yes
,#205056,32,80,86,Lake Iritais,,lake,lakes,,continental,,,,,,lake_iritais,iritais_province,skirpeggikia_area,pukaland_region,kaltic,berlogoes,,,,yes
,#245c63,36,92,99,Holy Chairenian Bay,,lake,inland_sea,,continental,,,,,,holy_chairenian_bay,lake_alpha_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#21555b,33,85,91,Hitolis Isthmus,,lake,inland_sea,,continental,,,,,,hitolis_isthmus,lake_alpha_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#22575e,34,87,94,Visianta Bay,,lake,inland_sea,,continental,,,,,,visianta_bay,lake_alpha_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#215259,33,82,89,Wiktorian Isthmus,,lake,inland_sea,,continental,,,,,,wiktorian_isthmus,lake_alpha_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#27626b,39,98,107,Lake Pielepopils,,lake,lakes,,continental,,,,,,lake_pielepopils,bolbegarisa_province,archavia_area,pukaland_region,kaltic,berlogoes,,,,yes
,#28646d,40,100,109,Skwenlaag,,lake,lakes,,continental,,,,,,skwenlaag,bolbegarisa_province,archavia_area,pukaland_region,kaltic,berlogoes,,,,yes
,#112c30,17,44,48,Dajonilaag,,lake,lakes,,continental,,,,,,dajonilaag,rostenboe_province,archavia_area,pukaland_region,kaltic,berlogoes,,,,yes
,#296670,41,102,112,Lake Bolbegaar,,lake,lakes,,continental,,,,,,lake_bolbegaar,kayarnie_province,grenid_area,pukaland_region,kaltic,berlogoes,,,,yes
,#2c6d77,44,109,119,Lake Costavia,,lake,lakes,,continental,,,,,,lake_costavia,costavia_province,woestlands_area,pukaland_region,kaltic,berlogoes,,,,yes
,#2b6b75,43,107,117,Badreshad Lake,,lake,lakes,,continental,,,,,,badreshad_lake,mazupis_province,grenid_area,pukaland_region,kaltic,berlogoes,,,,yes
,#2a6972,42,105,114,Lake Krne,,lake,lakes,,continental,,,,,,lake_krne,kayarnie_province,grenid_area,pukaland_region,kaltic,berlogoes,,,,yes
,#2d707a,45,112,122,Nuvanvilaag,,lake,lakes,,continental,,,,,,nuvanvilaag,nuvanvi_province,nuvia_area,nuvanviut_region,kaltic,berlogoes,,,,yes
,#2e727c,46,114,124,Lake Pelire,,lake,lakes,,continental,,,,,,lake_pelire,hasper_province,mozze_area,mozze_region,tousourilea,berlogoes,,,,yes
,#1c464c,28,70,76,Lake Sikes,,lake,lakes,,continental,,,,,,lake_sikes,comerzudial_province,dekiston_area,grayston_region,tousourilea,berlogoes,,,,yes
,#1a4247,26,66,71,Fadious Lake,,lake,lakes,,continental,,,,,,fadious_lake,comerzudial_province,dekiston_area,grayston_region,tousourilea,berlogoes,,,,yes
,#317984,49,121,132,Pandattan Lakes,,lake,lakes,,continental,,,,,,pandattan_lakes,pandatta_province,pandatta_area,soriden_region,tousourilea,berlogoes,,,,yes
,#368793,54,135,147,Lorkian Lake,,lake,lakes,,continental,,,,,,lorkian_lake,grimeha_province,krenar_area,lorkia_region,auteka,berlogoes,,,,yes
,#34828e,52,130,142,Baluklaag,,lake,lakes,,continental,,,,,,baluklaag,baluknia_province,irvaltia_area,irvaltic_region,auteka,berlogoes,,,,yes
,#33808c,51,128,140,Laagtereza,,lake,lakes,,continental,,,,,,laagtereza,ripteresa_province,irvaltia_area,irvaltic_region,auteka,berlogoes,,,,yes
,#327e89,50,126,137,Laagirvious,,lake,lakes,,continental,,,,,,laagirvious,irvyser_province,irvaltia_area,irvaltic_region,auteka,berlogoes,,,,yes
,#327b87,50,123,135,Valiganslaag,,lake,lakes,,continental,,,,,,valiganslaag,kiltenic_province,irvaltia_area,irvaltic_region,auteka,berlogoes,,,,yes
,#1e4b51,30,75,81,Lake Penninitia,,lake,lakes,,continental,,,,,,lake_penninitia,alzmorizet_province,perratia_area,talima_region,kaltic,berlogoes,,,,yes
,#7cf98b,124,249,139,Fighting Fifties,,sea,coastal_ocean,,arctic,,,,,,fighting_fifties1,fighting_fifties_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#7af488,122,244,136,Fighting Fifties,,sea,coastal_ocean,,arctic,,,,,,fighting_fifties2,fighting_fifties_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#77ef85,119,239,133,Exodus Sea,,sea,narrows,,continental,,,,,,exodus_sea1,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#67ce73,103,206,115,Carfetso Sea,,sea,coastal_ocean,,continental,,,,,,carfetso_sea1,carfetso_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#6edd7b,110,221,123,Fighting Fifties,,sea,coastal_ocean,,arctic,,,,,,fighting_fifties3,fighting_fifties_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#71e27e,113,226,126,Exodus Sea,,sea,inland_sea,,continental,,,,,,exodus_sea2,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#74e881,116,232,129,Exodus Sea,,sea,inland_sea,,continental,,,,,,exodus_sea3,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#4d9b56,77,155,86,Exodus Sea,,sea,inland_sea,,continental,,,,,,exodus_sea4,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#4f9e58,79,158,88,Exodus Sea,,sea,inland_sea,,continental,,,,,,exodus_sea5,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#50a059,80,160,89,Exodus Sea,,sea,inland_sea,,continental,,,,,,exodus_sea6,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#7fff8e,127,255,142,Exodus Sea,,sea,inland_sea,,continental,,,,,,exodus_sea7,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#52a55c,82,165,92,Exodus Sea,,sea,inland_sea,,continental,,,,,,exodus_sea8,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#6cd879,108,216,121,Fighting Fifties,,sea,coastal_ocean,,arctic,,,,,,fighting_fifties4,fighting_fifties_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#69d376,105,211,118,Exodus Sea,,sea,inland_sea,,continental,,,,,,exodus_sea9,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#54a85d,84,168,93,Exodus Sea,,sea,narrows,,continental,,,,,,exodus_sea10,exodus_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#55aa5f,85,170,95,Carfetso Sea,,sea,narrows,,continental,,,,,,carfetso_sea2,carfetso_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#56ad60,86,173,96,Carfetso Sea,,sea,coastal_ocean,,continental,,,,,,carfetso_sea3,carfetso_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#57af62,87,175,98,Carfetso Sea,,sea,coastal_ocean,,continental,,,,,,carfetso_sea4,carfetso_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#59b263,89,178,99,Carfetso Sea,,sea,coastal_ocean,,continental,,,,,,carfetso_sea5,carfetso_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#5dba67,93,186,103,Creti Sea,,sea,coastal_ocean,,continental,,,,,,creti_sea1,creti_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#5bb766,91,183,102,Creti Sea,,sea,coastal_ocean,,continental,,,,,,creti_sea2,creti_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#62c46d,98,196,109,Creti Sea,,sea,coastal_ocean,,continental,,,,,,creti_sea3,creti_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#64c970,100,201,112,Creti Sea,,sea,coastal_ocean,,continental,,,,,,creti_sea4,creti_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#5fbf6a,95,191,106,Creti Sea,,sea,coastal_ocean,,continental,,,,,,creti_sea5,creti_sea_province,cretuka_sea_zones,cretuka_region,lugeania,berlogoes,,yes,,
,#9881c6,152,129,198,Saqunjak Sea,,sea,coastal_ocean,,arctic,,,,,,saqunjak_sea,saqunjak_sea_province,saqunjak_sea_zones,saqunjak_region,lugeania,berlogoes,,yes,,
,#967fc4,150,127,196,Saqunjak Sea,,sea,coastal_ocean,,arctic,,,,,,saqunjak_sea,saqunjak_sea_province,saqunjak_sea_zones,saqunjak_region,lugeania,berlogoes,,yes,,
,#947dc1,148,125,193,Saqunjak Sea,,sea,coastal_ocean,,arctic,,,,,,saqunjak_sea,saqunjak_sea_province,saqunjak_sea_zones,saqunjak_region,lugeania,berlogoes,,yes,,
,#927cbf,146,124,191,Saqunjak Sea,,sea,coastal_ocean,,arctic,,,,,,saqunjak_sea,saqunjak_sea_province,saqunjak_sea_zones,saqunjak_region,lugeania,berlogoes,,yes,,
,#907abc,144,122,188,Saqunjak Sea,,sea,coastal_ocean,,arctic,,,,,,saqunjak_sea,saqunjak_sea_province,saqunjak_sea_zones,saqunjak_region,lugeania,berlogoes,,yes,,
,#9c83cb,156,131,203,Saqunjak Sea,,sea,coastal_ocean,,continental,,,,,,saqunjak_sea,saqunjak_sea_province,saqunjak_sea_zones,saqunjak_region,lugeania,berlogoes,,yes,,
,#7c8ff9,124,143,249,Eveston Sea,,sea,narrows,,continental,,,,,,eveston_sea1,eveston_sea_province,piatraston_sea_zones,piatraston_region,lugeania,berlogoes,,yes,,
,#7e91fc,126,145,252,Eveston Sea,,sea,coastal_ocean,,continental,,,,,,eveston_sea2,eveston_sea_province,piatraston_sea_zones,piatraston_region,lugeania,berlogoes,,yes,,
,#7b8ef7,123,142,247,Eveston Sea,,sea,inland_sea,,continental,,,,,,eveston_sea3,eveston_sea_province,piatraston_sea_zones,piatraston_region,lugeania,berlogoes,,yes,,
,#7a8cf4,122,140,244,Quaid Bay,,sea,narrows,,continental,,,,,,quaid_bay1,quaid_bay_province,piatraston_sea_zones,piatraston_region,lugeania,berlogoes,,yes,,
,#7f92ff,127,146,255,Quaid Bay,,sea,narrows,,continental,,,,,,quaid_bay2,quaid_bay_province,piatraston_sea_zones,piatraston_region,lugeania,berlogoes,,yes,,
,#7b95af,123,149,175,Aravian Sea,,sea,inland_sea,,continental,,,,,,aravian_sea1,aravian_sea_province,aravia_sea_zones,aravia_region,lugeania,berlogoes,,yes,,
,#7993ad,121,147,173,Aravian Sea,,sea,narrows,,continental,,,,,,aravian_sea2,aravian_sea_province,aravia_sea_zones,aravia_region,lugeania,berlogoes,,yes,,
,#7791aa,119,145,170,Aravian Sea,,sea,coastal_ocean,,continental,,,,,,aravian_sea3,aravian_sea_province,aravia_sea_zones,aravia_region,lugeania,berlogoes,,yes,,
,#758fa8,117,143,168,Hiksof Bay,,sea,coastal_ocean,,continental,,,,,,hiksof_bay,aravian_sea_province,aravia_sea_zones,aravia_region,lugeania,berlogoes,,yes,,
,#7d99b5,125,153,181,Ithyaac Sea,,sea,coastal_ocean,,continental,,,,,,ithyaac_sea,aravian_sea_province,aravia_sea_zones,aravia_region,lugeania,berlogoes,,yes,,
,#fcda7e,252,218,126,Siganito Sea,,sea,coastal_ocean,,continental,,,,,,siganito_sea1,siganito_sea_province,skersjak_sea_zones,skersjak_region,lugeania,berlogoes,,yes,,
,#f9d87c,249,216,124,Siganito Sea,,sea,coastal_ocean,,continental,,,,,,siganito_sea2,siganito_sea_province,skersjak_sea_zones,skersjak_region,lugeania,berlogoes,,yes,,
,#f7d67b,247,214,123,Siganito Sea,,sea,coastal_ocean,,continental,,,,,,siganito_sea3,siganito_sea_province,skersjak_sea_zones,skersjak_region,lugeania,berlogoes,,yes,,
,#eacb75,234,203,117,Wenzor Sea,,sea,coastal_ocean,,continental,,,,,,wenzor_sea1,wenzor_sea_province,skersjak_sea_zones,skersjak_region,lugeania,berlogoes,,yes,,
,#f4d47a,244,212,122,Wenzor Sea,,sea,coastal_ocean,,continental,,,,,,wenzor_sea2,wenzor_sea_province,skersjak_sea_zones,skersjak_region,lugeania,berlogoes,,yes,,
,#efcf77,239,207,119,Wenzor Sea,,sea,coastal_ocean,,continental,,,,,,wenzor_sea3,wenzor_sea_province,skersjak_sea_zones,skersjak_region,lugeania,berlogoes,,yes,,
,#e8c974,232,201,116,Marzonian Sea,,sea,coastal_ocean,,continental,,,,,,marzonian_sea1,marzonian_sea_province,skersjak_sea_zones,skersjak_region,lugeania,berlogoes,,yes,,
,#ffdd7f,255,221,127,Marzonian Sea,,sea,coastal_ocean,,continental,,,,,,marzonian_sea2,marzonian_sea_province,skersjak_sea_zones,skersjak_region,lugeania,berlogoes,,yes,,
,#7cf9bf,124,249,191,Carsonan Sea,,sea,inland_sea,,continental,,,,,,carsonan_sea1,carsonan_sea_province,carson_sea_zones,garson_region,lugeania,berlogoes,,yes,,
,#76edb3,118,237,179,Carsonan Bay,,sea,coastal_ocean,,continental,,,,,,carsonan_bay1,carsonan_sea_province,carson_sea_zones,garson_region,lugeania,berlogoes,,yes,,
,#7af4bb,122,244,187,Senetai Strait,,sea,narrows,,continental,,,,,,senetai_bay,carsonan_sea_province,carson_sea_zones,garson_region,lugeania,berlogoes,,yes,,
,#7fffc5,127,255,197,Carsonan Bay,,sea,coastal_ocean,,continental,,,,,,carsonan_bay2,carsonan_sea_province,carson_sea_zones,garson_region,lugeania,berlogoes,,yes,,
,#74e8af,116,232,175,Quentinel Sea,,sea,coastal_ocean,,continental,,,,,,quentinel_sea1,quentinel_sea_province,gerson_sea_zones,garson_region,lugeania,berlogoes,,yes,,
,#71e2ac,113,226,172,Quentinel Sea,,sea,coastal_ocean,,continental,,,,,,quentinel_sea2,quentinel_sea_province,gerson_sea_zones,garson_region,lugeania,berlogoes,,yes,,
,#6edda8,110,221,168,Quentinel Sea,,sea,coastal_ocean,,continental,,,,,,quentinel_sea3,quentinel_sea_province,gerson_sea_zones,garson_region,lugeania,berlogoes,,yes,,
,#69d3a0,105,211,160,Gzerai Sea,,sea,narrows,,continental,,,,,,gzerai_sea,gizanian_sea_province,gerson_sea_zones,garson_region,lugeania,berlogoes,,yes,,
,#6cd8a4,108,216,164,Gizanian Sea,,sea,coastal_ocean,,continental,,,,,,gizanian_sea,gizanian_sea_province,gerson_sea_zones,garson_region,lugeania,berlogoes,,yes,,
,#78bcad,120,188,173,Perratian Sea,,sea,coastal_ocean,,continental,,,,,,perratian_sea,perratian_sea_province,talima_sea_zones,talima_region,lugeania,berlogoes,,yes,,
,#72b2a4,114,178,164,Penninitian Sea,,sea,coastal_ocean,,continental,,,,,,penninitian_sea1,perratian_sea_province,talima_sea_zones,talima_region,lugeania,berlogoes,,yes,,
,#75b7a9,117,183,169,Luzsta Bay,,sea,narrows,,continental,,,,,,luzsta_bay,perratian_sea_province,talima_sea_zones,talima_region,lugeania,berlogoes,,yes,,
,#6ead9f,110,173,159,Penninitian Sea,,sea,coastal_ocean,,continental,,,,,,penninitian_sea2,zapir_bay_province,talima_sea_zones,talima_region,lugeania,berlogoes,,yes,,
,#6ba89b,107,168,155,Toixfor Bay,,sea,coastal_ocean,,continental,,,,,,toixfor_bay,zapir_bay_province,talima_sea_zones,talima_region,lugeania,berlogoes,,yes,,
,#7dc4b5,125,196,181,Zapir Bay,,sea,narrows,,continental,,,,,,zapir_bay,zapir_bay_province,talima_sea_zones,talima_region,lugeania,berlogoes,,yes,,
,#f97ce9,249,124,233,Sarcian Sea,,sea,coastal_ocean,,continental,,,,,,sarcian_sea1,sarcian_sea_province,easterlands_sea_zone,easterlands_region,kaltic,berlogoes,,yes,,
,#f279e4,242,121,228,Sarcian Sea,,sea,coastal_ocean,,continental,,,,,,sarcian_sea2,sarcian_sea_province,easterlands_sea_zone,easterlands_region,kaltic,berlogoes,,yes,,
,#ff7fed,255,127,237,Costian Sea,,sea,coastal_ocean,,continental,,,,,,costian_sea1,costian_sea_province,easterlands_sea_zone,easterlands_region,kaltic,berlogoes,,yes,,
,#dd6ed0,221,110,208,Costian Sea,,sea,coastal_ocean,,continental,,,,,,costian_sea2,costian_sea_province,easterlands_sea_zone,easterlands_region,kaltic,berlogoes,,yes,,
,#ed76df,237,118,223,Costian Sea,,sea,narrows,,continental,,,,,,costian_sea3,costian_sea_province,easterlands_sea_zone,easterlands_region,kaltic,berlogoes,,yes,,
,#e271d5,226,113,213,Costian Sea,,sea,inland_sea,,continental,,,,,,costian_sea4,costian_sea_province,easterlands_sea_zone,easterlands_region,kaltic,berlogoes,,yes,,
,#e874da,232,116,218,Costian Sea,,sea,narrows,,continental,,,,,,costian_sea5,costian_sea_province,easterlands_sea_zone,easterlands_region,kaltic,berlogoes,,yes,,
,#fcdacf,252,218,207,Carsonan Sea,,sea,inland_sea,,continental,,,,,,carsonan_sea2,strait_of_dergonatsilia_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#f9d8cc,249,216,204,Strait of Dergonatsilia,,sea,narrows,,continental,,,,,,strait_of_dergonatsilia,strait_of_dergonatsilia_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#f7d5ca,247,213,202,Vikoran Sea,,sea,narrows,,continental,,,,,,vikoran_sea1,strait_of_dergonatsilia_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#f4d3c8,244,211,200,Vikoran Sea,,sea,coastal_ocean,,continental,,,,,,vikoran_sea2,vikoran_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#efcec4,239,206,196,Parsiian Sea,,sea,coastal_ocean,,continental,,,,,,parsiian_sea1,vikoran_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#edccc2,237,204,194,Parsiian Sea,,sea,inland_sea,,continental,,,,,,parsiian_sea2,parsiian_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#eacac0,234,202,192,Parsiian Sea,,sea,inland_sea,,continental,,,,,,parsiian_sea3,parsiian_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#e8c8be,232,200,190,Parsiian Sea,,sea,inland_sea,,continental,,,,,,parsiian_sea4,parsiian_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#e2c3ba,226,195,186,Parsiian Sea,,sea,inland_sea,,continental,,,,,,parsiian_sea5,parsiian_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#e5c5bc,229,197,188,Parsiian Sea,,sea,narrows,,continental,,,,,,parsiian_sea6,parsiian_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#ffddd1,255,221,209,Parsiian Sea,,sea,coastal_ocean,,continental,,,,,,parsiian_sea7,vikoran_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#ddbfb5,221,191,181,Parsiian Sea,,sea,coastal_ocean,,continental,,,,,,parsiian_sea8,vikoran_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#e0c1b8,224,193,184,Parsiian Sea,,sea,coastal_ocean,,continental,,,,,,parsiian_sea9,vikoran_sea_province,parsii_sea_zones,parsii_region,lugeania,berlogoes,,yes,,
,#c9b1b1,201,177,177,Skirpegic Sea,,sea,coastal_ocean,,continental,,,,,,skirpegic_sea1,skirpegic_sea_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#c1acac,193,172,172,Skirpegic Sea,,sea,coastal_ocean,,continental,,,,,,skirpegic_sea2,skirpegic_sea_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#bca9a9,188,169,169,Skirpegic Sea,,sea,coastal_ocean,,continental,,,,,,skirpegic_sea3,skirpegic_sea_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#baa7a7,186,167,167,Archavian Sea,,sea,coastal_ocean,,continental,,,,,,archavian_sea1,archavian_sea_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#b7a5a5,183,165,165,Archavian Sea,,sea,coastal_ocean,,continental,,,,,,archavian_sea2,archavian_sea_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#b5a2a2,181,162,162,Archavian Sea,,sea,coastal_ocean,,continental,,,,,,archavian_sea3,archavian_sea_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#b2a0a0,178,160,160,Archavian Sea,,sea,coastal_ocean,,continental,,,,,,archavian_sea4,archavian_sea_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#ceb5b5,206,181,181,Sutten Sea,,sea,coastal_ocean,,continental,,,,,,sutten_sea1,sutten_bank_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#c9b2b1,201,178,177,Archavian Sea,,sea,coastal_ocean,,continental,,,,,,archavian_sea5,archavian_sea_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#c6afaf,198,175,175,Sutten Bank,,sea,coastal_ocean,,continental,,,,,,sutten_bank,sutten_bank_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#c1aaaa,193,170,170,Sutten Sea,,sea,coastal_ocean,,continental,,,,,,sutten_sea2,sutten_bank_province,pukaland_sea_zones,pukaland_region,kaltic,berlogoes,,yes,,
,#7efcfc,126,252,252,Tikolan Sea,,sea,coastal_ocean,,continental,,,,,,tikolan_sea1,tikolan_sea_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#7cf9f9,124,249,249,Tikolan Sea,,sea,coastal_ocean,,continental,,,,,,tikolan_sea2,tikolan_sea_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#7bf7f7,123,247,247,Tikolan Sea,,sea,narrows,,continental,,,,,,tikolan_sea3,tikolan_sea_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#7af4f4,122,244,244,Tikolan Sea,,sea,coastal_ocean,,continental,,,,,,tikolan_sea4,tikolan_sea_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#79f2f2,121,242,242,Tikolan Sea,,sea,narrows,,continental,,,,,,tikolan_sea5,tikolan_sea_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#77efef,119,239,239,Tikolan Sea,,sea,coastal_ocean,,arctic,,,,,,tikolan_sea6,tikolan_sea_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#76eded,118,237,237,Tikolan Sea,,sea,coastal_ocean,,arctic,,,,,,tikolan_sea7,tikolan_sea_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#75eaea,117,234,234,Loise Current,,sea,coastal_ocean,,arctic,,,,,,loise_current1,loise_current_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#74e8e8,116,232,232,Loise Current,,sea,coastal_ocean,,arctic,,,,,,loise_current2,loise_current_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#72e5e5,114,229,229,Loise Current,,sea,coastal_ocean,,arctic,,,,,,loise_current3,loise_current_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
,#71e2e2,113,226,226,Loise Current,,sea,coastal_ocean,,arctic,,,,,,loise_current4,loise_current_province,salazare_sea_zones_area,salazare_region,kaltic,berlogoes,,yes,,
